gisjoin,state,county,year,wheat_production_bu
G0100010,Alabama,Autauga,1840,7155.0
G0100030,Alabama,Baldwin,1840,27.0
G0100050,Alabama,Barbour,1840,6239.0
G0100055,Alabama,Benton,1840,77976.0
G0100070,Alabama,Bibb,1840,23418.0
G0100090,Alabama,Blount,1840,15014.0
G0100130,Alabama,Butler,1840,3198.0
G0100170,Alabama,Chambers,1840,42651.0
G0100190,Alabama,Cherokee,1840,22004.0
G0100250,Alabama,Clarke,1840,573.0
G0100350,Alabama,Conecuh,1840,1847.0
G0100370,Alabama,Coosa,1840,10050.0
G0100390,Alabama,Covington,1840,772.0
G0100450,Alabama,Dale,1840,1865.0
G0100470,Alabama,Dallas,1840,12388.0
G0100490,Alabama,DeKalb,1840,14965.0
G0100570,Alabama,Fayette,1840,22852.0
G0100590,Alabama,Franklin,1840,34184.0
G0100630,Alabama,Greene,1840,18396.0
G0100670,Alabama,Henry,1840,1715.0
G0100710,Alabama,Jackson,1840,30956.0
G0100730,Alabama,Jefferson,1840,34157.0
G0100770,Alabama,Lauderdale,1840,46303.0
G0100790,Alabama,Lawrence,1840,30978.0
G0100830,Alabama,Limestone,1840,32599.0
G0100850,Alabama,Lowndes,1840,1421.0
G0100870,Alabama,Macon,1840,2316.0
G0100890,Alabama,Madison,1840,85099.0
G0100910,Alabama,Marengo,1840,2785.0
G0100930,Alabama,Marion,1840,17467.0
G0100950,Alabama,Marshall,1840,8996.0
G0100970,Alabama,Mobile,1840,0.0
G0100990,Alabama,Monroe,1840,5335.0
G0101010,Alabama,Montgomery,1840,7907.0
G0101030,Alabama,Morgan,1840,25262.0
G0101050,Alabama,Perry,1840,32694.0
G0101070,Alabama,Pickens,1840,0.0
G0101090,Alabama,Pike,1840,4020.0
G0101110,Alabama,Randolph,1840,13426.0
G0101130,Alabama,Russell,1840,11479.0
G0101150,Alabama,St Clair,1840,21370.0
G0101170,Alabama,Shelby,1840,17023.0
G0101190,Alabama,Sumter,1840,0.0
G0101210,Alabama,Talladega,1840,41106.0
G0101230,Alabama,Tallapoosa,1840,11683.0
G0101250,Alabama,Tuscaloosa,1840,17958.0
G0101270,Alabama,Walker,1840,5587.0
G0101290,Alabama,Washington,1840,386.0
G0101310,Alabama,Wilcox,1840,2450.0
G0500010,Arkansas,Arkansas,1840,81.0
G0500070,Arkansas,Benton,1840,5128.0
G0500150,Arkansas,Carroll,1840,4462.0
G0500170,Arkansas,Chicot,1840,0.0
G0500190,Arkansas,Clark,1840,1050.0
G0500290,Arkansas,Conway,1840,1709.0
G0500330,Arkansas,Crawford,1840,1513.0
G0500350,Arkansas,Crittenden,1840,28.0
G0500410,Arkansas,Desha,1840,347.0
G0500470,Arkansas,Franklin,1840,3548.0
G0500550,Arkansas,Greene,1840,1132.0
G0500570,Arkansas,Hempstead,1840,1777.0
G0500590,Arkansas,Hot Spring,1840,1076.0
G0500630,Arkansas,Independence,1840,9151.0
G0500650,Arkansas,Izard,1840,7764.0
G0500670,Arkansas,Jackson,1840,1754.0
G0500690,Arkansas,Jefferson,1840,407.0
G0500710,Arkansas,Johnson,1840,7023.0
G0500730,Arkansas,Lafayette,1840,0.0
G0500750,Arkansas,Lawrence,1840,11836.0
G0500870,Arkansas,Madison,1840,4132.0
G0500890,Arkansas,Marion,1840,3097.0
G0500930,Arkansas,Mississippi,1840,0.0
G0500950,Arkansas,Monroe,1840,550.0
G0501070,Arkansas,Phillips,1840,151.0
G0501090,Arkansas,Pike,1840,653.0
G0501110,Arkansas,Poinsett,1840,2385.0
G0501150,Arkansas,Pope,1840,3418.0
G0501190,Arkansas,Pulaski,1840,559.0
G0501210,Arkansas,Randolph,1840,5843.0
G0501230,Arkansas,St Francis,1840,1438.0
G0501250,Arkansas,Saline,1840,598.0
G0501270,Arkansas,Scott,1840,1546.0
G0501290,Arkansas,Searcy,1840,1071.0
G0501330,Arkansas,Sevier,1840,1297.0
G0501390,Arkansas,Union,1840,1098.0
G0501410,Arkansas,Van Buren,1840,1545.0
G0501430,Arkansas,Washington,1840,16384.0
G0501450,Arkansas,White,1840,327.0
G0900010,Connecticut,Fairfield,1840,10802.0
G0900030,Connecticut,Hartford,1840,13449.0
G0900050,Connecticut,Litchfield,1840,23574.0
G0900070,Connecticut,Middlesex,1840,5463.0
G0900090,Connecticut,New Haven,1840,7032.0
G0900110,Connecticut,New London,1840,10138.0
G0900130,Connecticut,Tolland,1840,7552.0
G0900150,Connecticut,Windham,1840,8999.0
G1000010,Delaware,Kent,1840,85342.0
G1000030,Delaware,New Castle,1840,191724.0
G1000050,Delaware,Sussex,1840,38099.0
G1100005,District Of Columbia,Alexandria,1840,4334.0
G1100017,District Of Columbia,Georgetown,1840,0.0
G1100075,District Of Columbia,Rural Washington county,1840,7005.0
G1100115,District Of Columbia,Washington City,1840,808.0
G1250015,Florida Territory,Alachua,1840,0.0
G1250035,Florida Territory,Columbia,1840,0.0
G1250055,Florida Territory,Dade,1840,0.0
G1250075,Florida Territory,Duval,1840,0.0
G1250095,Florida Territory,Escambia,1840,0.0
G1250115,Florida Territory,Franklin,1840,0.0
G1250125,Florida Territory,Calhoun,1840,50.0
G1250135,Florida Territory,Gadsden,1840,35.0
G1250155,Florida Territory,Hamilton,1840,36.0
G1250175,Florida Territory,Hillsborough,1840,0.0
G1250195,Florida Territory,Jackson,1840,264.0
G1250215,Florida Territory,Jefferson,1840,0.0
G1250235,Florida Territory,Leon,1840,27.0
G1250255,Florida Territory,Madison,1840,0.0
G1250275,Florida Territory,Monroe,1840,0.0
G1250295,Florida Territory,Mosquito,1840,0.0
G1250315,Florida Territory,Nassau,1840,0.0
G1250355,Florida Territory,St Johns,1840,0.0
G1250375,Florida Territory,Walton,1840,0.0
G1250395,Florida Territory,Washington,1840,0.0
G1300010,Georgia,Appling,1840,2027.0
G1300070,Georgia,Baker,1840,1931.0
G1300090,Georgia,Baldwin,1840,9779.0
G1300210,Georgia,Bibb,1840,4560.0
G1300290,Georgia,Bryan,1840,0.0
G1300310,Georgia,Bulloch,1840,2974.0
G1300330,Georgia,Burke,1840,7698.0
G1300350,Georgia,Butts,1840,34637.0
G1300390,Georgia,Camden,1840,69.0
G1300395,Georgia,Campbell,1840,37201.0
G1300450,Georgia,Carroll,1840,24552.0
G1300455,Georgia,Cass,1840,51613.0
G1300510,Georgia,Chatham,1840,0.0
G1300550,Georgia,Chattooga,1840,18789.0
G1300570,Georgia,Cherokee,1840,28192.0
G1300590,Georgia,Clarke,1840,41631.0
G1300670,Georgia,Cobb,1840,27264.0
G1300730,Georgia,Columbia,1840,20258.0
G1300770,Georgia,Coweta,1840,55147.0
G1300790,Georgia,Crawford,1840,19700.0
G1300830,Georgia,Dade,1840,3940.0
G1300870,Georgia,Decatur,1840,148.0
G1300890,Georgia,DeKalb,1840,45648.0
G1300930,Georgia,Dooly,1840,7064.0
G1300990,Georgia,Early,1840,2327.0
G1301030,Georgia,Effingham,1840,1222.0
G1301050,Georgia,Elbert,1840,27681.0
G1301070,Georgia,Emanuel,1840,3087.0
G1301130,Georgia,Fayette,1840,28010.0
G1301150,Georgia,Floyd,1840,27633.0
G1301170,Georgia,Forsyth,1840,27957.0
G1301190,Georgia,Franklin,1840,45999.0
G1301230,Georgia,Gilmer,1840,4379.0
G1301270,Georgia,Glynn,1840,0.0
G1301330,Georgia,Greene,1840,58568.0
G1301350,Georgia,Gwinnett,1840,47011.0
G1301370,Georgia,Habersham,1840,11659.0
G1301390,Georgia,Hall,1840,24496.0
G1301410,Georgia,Hancock,1840,34455.0
G1301450,Georgia,Harris,1840,12585.0
G1301490,Georgia,Heard,1840,19741.0
G1301510,Georgia,Henry,1840,55998.0
G1301530,Georgia,Houston,1840,0.0
G1301550,Georgia,Irwin,1840,2992.0
G1301570,Georgia,Jackson,1840,27188.0
G1301590,Georgia,Jasper,1840,35436.0
G1301630,Georgia,Jefferson,1840,10301.0
G1301690,Georgia,Jones,1840,23778.0
G1301750,Georgia,Laurens,1840,9048.0
G1301770,Georgia,Lee,1840,2153.0
G1301790,Georgia,Liberty,1840,600.0
G1301810,Georgia,Lincoln,1840,14148.0
G1301850,Georgia,Lowndes,1840,2383.0
G1301870,Georgia,Lumpkin,1840,10061.0
G1301910,Georgia,McIntosh,1840,0.0
G1301930,Georgia,Macon,1840,20933.0
G1301950,Georgia,Madison,1840,8239.0
G1301970,Georgia,Marion,1840,3634.0
G1301990,Georgia,Meriwether,1840,86480.0
G1302070,Georgia,Monroe,1840,62657.0
G1302090,Georgia,Montgomery,1840,1119.0
G1302110,Georgia,Morgan,1840,31240.0
G1302130,Georgia,Murray,1840,10568.0
G1302150,Georgia,Muscogee,1840,13386.0
G1302170,Georgia,Newton,1840,46222.0
G1302210,Georgia,Oglethorpe,1840,33919.0
G1302230,Georgia,Paulding,1840,11863.0
G1302310,Georgia,Pike,1840,47171.0
G1302350,Georgia,Pulaski,1840,7439.0
G1302370,Georgia,Putnam,1840,35686.0
G1302410,Georgia,Rabun,1840,1452.0
G1302430,Georgia,Randolph,1840,1276.0
G1302450,Georgia,Richmond,1840,1670.0
G1302510,Georgia,Screven,1840,1806.0
G1302590,Georgia,Stewart,1840,13114.0
G1302610,Georgia,Sumter,1840,10864.0
G1302630,Georgia,Talbot,1840,71743.0
G1302650,Georgia,Taliaferro,1840,16627.0
G1302670,Georgia,Tattnall,1840,526.0
G1302710,Georgia,Telfair,1840,3321.0
G1302750,Georgia,Thomas,1840,1020.0
G1302850,Georgia,Troup,1840,68525.0
G1302890,Georgia,Twiggs,1840,14743.0
G1302910,Georgia,Union,1840,7343.0
G1302930,Georgia,Upson,1840,29333.0
G1302950,Georgia,Walker,1840,17363.0
G1302970,Georgia,Walton,1840,18658.0
G1302990,Georgia,Ware,1840,893.0
G1303010,Georgia,Warren,1840,13351.0
G1303030,Georgia,Washington,1840,20066.0
G1303050,Georgia,Wayne,1840,189.0
G1303170,Georgia,Wilkes,1840,38906.0
G1303190,Georgia,Wilkinson,1840,12767.0
G1700010,Illinois,Adams,1840,143865.0
G1700030,Illinois,Alexander,1840,3947.0
G1700050,Illinois,Bond,1840,25722.0
G1700070,Illinois,Boone,1840,19873.0
G1700090,Illinois,Brown,1840,15791.0
G1700110,Illinois,Bureau,1840,55724.0
G1700130,Illinois,Calhoun,1840,2791.0
G1700150,Illinois,Carroll,1840,7226.0
G1700170,Illinois,Cass,1840,25812.0
G1700190,Illinois,Champaign,1840,5975.0
G1700210,Illinois,Christian,1840,8821.0
G1700230,Illinois,Clark,1840,23913.0
G1700250,Illinois,Clay,1840,4050.0
G1700270,Illinois,Clinton,1840,21367.0
G1700290,Illinois,Coles,1840,30519.0
G1700310,Illinois,Cook,1840,24977.0
G1700330,Illinois,Crawford,1840,15932.0
G1700370,Illinois,DeKalb,1840,38095.0
G1700390,Illinois,De Witt,1840,25374.0
G1700430,Illinois,Dupage,1840,53641.0
G1700450,Illinois,Edgar,1840,40870.0
G1700470,Illinois,Edwards,1840,10852.0
G1700490,Illinois,Effingham,1840,1499.0
G1700510,Illinois,Fayette,1840,16906.0
G1700550,Illinois,Franklin,1840,13680.0
G1700570,Illinois,Fulton,1840,105373.0
G1700590,Illinois,Gallatin,1840,37588.0
G1700610,Illinois,Greene,1840,29137.0
G1700650,Illinois,Hamilton,1840,10675.0
G1700670,Illinois,Hancock,1840,49860.0
G1700690,Illinois,Hardin,1840,3583.0
G1700730,Illinois,Henry,1840,15482.0
G1700750,Illinois,Iroquois,1840,15684.0
G1700770,Illinois,Jackson,1840,18530.0
G1700790,Illinois,Jasper,1840,2620.0
G1700810,Illinois,Jefferson,1840,11503.0
G1700830,Illinois,Jersey,1840,39480.0
G1700850,Illinois,Jo Daviess,1840,18560.0
G1700870,Illinois,Johnson,1840,7514.0
G1700890,Illinois,Kane,1840,150110.0
G1700950,Illinois,Knox,1840,65078.0
G1700970,Illinois,Lake,1840,22556.0
G1700990,Illinois,La Salle,1840,112843.0
G1701010,Illinois,Lawrence,1840,32837.0
G1701030,Illinois,Lee,1840,27415.0
G1701050,Illinois,Livingston,1840,13014.0
G1701070,Illinois,Logan,1840,12429.0
G1701090,Illinois,McDonough,1840,25684.0
G1701110,Illinois,McHenry,1840,43957.0
G1701130,Illinois,McLean,1840,44471.0
G1701150,Illinois,Macon,1840,21344.0
G1701170,Illinois,Macoupin,1840,42919.0
G1701190,Illinois,Madison,1840,160910.0
G1701210,Illinois,Marion,1840,10697.0
G1701230,Illinois,Marshall,1840,31889.0
G1701290,Illinois,Menard,1840,21671.0
G1701310,Illinois,Mercer,1840,27103.0
G1701330,Illinois,Monroe,1840,22512.0
G1701350,Illinois,Montgomery,1840,27500.0
G1701370,Illinois,Morgan,1840,60881.0
G1701410,Illinois,Ogle,1840,69215.0
G1701430,Illinois,Peoria,1840,43240.0
G1701450,Illinois,Perry,1840,14667.0
G1701490,Illinois,Pike,1840,81879.0
G1701510,Illinois,Pope,1840,1246.0
G1701550,Illinois,Putnam,1840,40885.0
G1701570,Illinois,Randolph,1840,56792.0
G1701610,Illinois,Rock Island,1840,21170.0
G1701630,Illinois,St Clair,1840,146524.0
G1701670,Illinois,Sangamon,1840,74522.0
G1701690,Illinois,Schuyler,1840,36830.0
G1701710,Illinois,Scott,1840,41925.0
G1701730,Illinois,Shelby,1840,18595.0
G1701750,Illinois,Stark,1840,18876.0
G1701770,Illinois,Stephenson,1840,46203.0
G1701790,Illinois,Tazewell,1840,154263.0
G1701810,Illinois,Union,1840,26898.0
G1701830,Illinois,Vermilion,1840,69708.0
G1701850,Illinois,Wabash,1840,19156.0
G1701870,Illinois,Warren,1840,75243.0
G1701890,Illinois,Washington,1840,28540.0
G1701910,Illinois,Wayne,1840,17515.0
G1701930,Illinois,White,1840,32953.0
G1701950,Illinois,Whiteside,1840,27206.0
G1701970,Illinois,Will,1840,110464.0
G1701990,Illinois,Williamson,1840,11932.0
G1702010,Illinois,Winnebago,1840,68315.0
G1800010,Indiana,Adams,1840,3948.0
G1800030,Indiana,Allen,1840,34819.0
G1800050,Indiana,Bartholomew,1840,37149.0
G1800090,Indiana,Blackford,1840,3259.0
G1800110,Indiana,Boone,1840,35017.0
G1800130,Indiana,Brown,1840,3328.0
G1800150,Indiana,Carroll,1840,69172.0
G1800170,Indiana,Cass,1840,23990.0
G1800190,Indiana,Clark,1840,100105.0
G1800210,Indiana,Clay,1840,10874.0
G1800230,Indiana,Clinton,1840,54281.0
G1800250,Indiana,Crawford,1840,22201.0
G1800270,Indiana,Daviess,1840,35286.0
G1800290,Indiana,Dearborn,1840,131318.0
G1800310,Indiana,Decatur,1840,77511.0
G1800330,Indiana,DeKalb,1840,9058.0
G1800350,Indiana,Delaware,1840,58902.0
G1800370,Indiana,Dubois,1840,11822.0
G1800390,Indiana,Elkhart,1840,44504.0
G1800410,Indiana,Fayette,1840,70439.0
G1800430,Indiana,Floyd,1840,30116.0
G1800450,Indiana,Fountain,1840,111118.0
G1800470,Indiana,Franklin,1840,30230.0
G1800490,Indiana,Fulton,1840,9122.0
G1800510,Indiana,Gibson,1840,62611.0
G1800530,Indiana,Grant,1840,22733.0
G1800550,Indiana,Greene,1840,27958.0
G1800570,Indiana,Hamilton,1840,40662.0
G1800590,Indiana,Hancock,1840,28531.0
G1800610,Indiana,Harrison,1840,66203.0
G1800630,Indiana,Hendricks,1840,61370.0
G1800650,Indiana,Henry,1840,78234.0
G1800690,Indiana,Huntington,1840,6427.0
G1800710,Indiana,Jackson,1840,38945.0
G1800730,Indiana,Jasper,1840,5078.0
G1800750,Indiana,Jay,1840,9703.0
G1800770,Indiana,Jefferson,1840,85483.0
G1800790,Indiana,Jennings,1840,56691.0
G1800810,Indiana,Johnson,1840,46118.0
G1800830,Indiana,Knox,1840,51679.0
G1800850,Indiana,Kosciusko,1840,30600.0
G1800870,Indiana,Lagrange,1840,58142.0
G1800890,Indiana,Lake,1840,15838.0
G1800910,Indiana,LaPorte,1840,221461.0
G1800930,Indiana,Lawrence,1840,75610.0
G1800950,Indiana,Madison,1840,46991.0
G1800970,Indiana,Marion,1840,78649.0
G1800990,Indiana,Marshall,1840,5540.0
G1801010,Indiana,Martin,1840,9884.0
G1801030,Indiana,Miami,1840,8127.0
G1801050,Indiana,Monroe,1840,57636.0
G1801070,Indiana,Montgomery,1840,84709.0
G1801090,Indiana,Morgan,1840,49217.0
G1801130,Indiana,Noble,1840,18319.0
G1801170,Indiana,Orange,1840,140864.0
G1801190,Indiana,Owen,1840,47082.0
G1801210,Indiana,Parke,1840,107188.0
G1801230,Indiana,Perry,1840,13452.0
G1801250,Indiana,Pike,1840,28947.0
G1801270,Indiana,Porter,1840,30712.0
G1801290,Indiana,Posey,1840,55103.0
G1801310,Indiana,Pulaski,1840,1399.0
G1801330,Indiana,Putnam,1840,72274.0
G1801350,Indiana,Randolph,1840,63639.0
G1801370,Indiana,Ripley,1840,22173.0
G1801390,Indiana,Rush,1840,99712.0
G1801410,Indiana,St Joseph,1840,102620.0
G1801430,Indiana,Scott,1840,15229.0
G1801450,Indiana,Shelby,1840,61611.0
G1801470,Indiana,Spencer,1840,18338.0
G1801490,Indiana,Starke,1840,545.0
G1801510,Indiana,Steuben,1840,22149.0
G1801530,Indiana,Sullivan,1840,44458.0
G1801550,Indiana,Switzerland,1840,76889.0
G1801570,Indiana,Tippecanoe,1840,137243.0
G1801610,Indiana,Union,1840,80890.0
G1801630,Indiana,Vanderburgh,1840,4225.0
G1801650,Indiana,Vermillion,1840,51185.0
G1801670,Indiana,Vigo,1840,17654.0
G1801690,Indiana,Wabash,1840,8705.0
G1801710,Indiana,Warren,1840,32198.0
G1801730,Indiana,Warrick,1840,20500.0
G1801750,Indiana,Washington,1840,52508.0
G1801770,Indiana,Wayne,1840,124750.0
G1801790,Indiana,Wells,1840,4746.0
G1801810,Indiana,White,1840,17981.0
G1801830,Indiana,Whitley,1840,5688.0
G1950015,Iowa Territory,Cedar,1840,14464.0
G1950035,Iowa Territory,Clayton,1840,1586.0
G1950055,Iowa Territory,Clinton,1840,5413.0
G1950075,Iowa Territory,Delaware,1840,450.0
G1950095,Iowa Territory,Des Moines,1840,15810.0
G1950115,Iowa Territory,Dubuque,1840,10799.0
G1950135,Iowa Territory,Henry,1840,11375.0
G1950155,Iowa Territory,Jackson,1840,6199.0
G1950175,Iowa Territory,Jefferson,1840,4223.0
G1950195,Iowa Territory,Johnson,1840,580.0
G1950215,Iowa Territory,Jones,1840,3537.0
G1950235,Iowa Territory,Lee,1840,21395.0
G1950255,Iowa Territory,Linn,1840,5908.0
G1950275,Iowa Territory,Louisa,1840,10553.0
G1950295,Iowa Territory,Muscatine,1840,5693.0
G1950315,Iowa Territory,Scott,1840,25740.0
G1950335,Iowa Territory,Van Buren,1840,8758.0
G1950355,Iowa Territory,Washington,1840,2210.0
G2100010,Kentucky,Adair,1840,27888.0
G2100030,Kentucky,Allen,1840,47157.0
G2100050,Kentucky,Anderson,1840,24526.0
G2100090,Kentucky,Barren,1840,80346.0
G2100110,Kentucky,Bath,1840,71122.0
G2100150,Kentucky,Boone,1840,101502.0
G2100170,Kentucky,Bourbon,1840,90099.0
G2100230,Kentucky,Bracken,1840,183569.0
G2100250,Kentucky,Breathitt,1840,1628.0
G2100270,Kentucky,Breckinridge,1840,75430.0
G2100290,Kentucky,Bullitt,1840,39681.0
G2100310,Kentucky,Butler,1840,15313.0
G2100330,Kentucky,Caldwell,1840,53109.0
G2100350,Kentucky,Calloway,1840,54911.0
G2100370,Kentucky,Campbell,1840,27702.0
G2100410,Kentucky,Carroll,1840,31888.0
G2100430,Kentucky,Carter,1840,2155.0
G2100450,Kentucky,Casey,1840,14636.0
G2100470,Kentucky,Christian,1840,103833.0
G2100490,Kentucky,Clark,1840,76751.0
G2100510,Kentucky,Clay,1840,2476.0
G2100530,Kentucky,Clinton,1840,11938.0
G2100570,Kentucky,Cumberland,1840,32937.0
G2100590,Kentucky,Daviess,1840,33808.0
G2100610,Kentucky,Edmonson,1840,6733.0
G2100650,Kentucky,Estill,1840,6815.0
G2100670,Kentucky,Fayette,1840,109998.0
G2100690,Kentucky,Fleming,1840,149286.0
G2100710,Kentucky,Floyd,1840,5957.0
G2100730,Kentucky,Franklin,1840,45401.0
G2100770,Kentucky,Gallatin,1840,27669.0
G2100790,Kentucky,Garrard,1840,57941.0
G2100810,Kentucky,Grant,1840,32303.0
G2100830,Kentucky,Graves,1840,36719.0
G2100850,Kentucky,Grayson,1840,18907.0
G2100870,Kentucky,Green,1840,75221.0
G2100890,Kentucky,Greenup,1840,11635.0
G2100910,Kentucky,Hancock,1840,10274.0
G2100930,Kentucky,Hardin,1840,120894.0
G2100950,Kentucky,Harlan,1840,2420.0
G2100970,Kentucky,Harrison,1840,350979.0
G2100990,Kentucky,Hart,1840,21869.0
G2101010,Kentucky,Henderson,1840,37006.0
G2101030,Kentucky,Henry,1840,96399.0
G2101050,Kentucky,Hickman,1840,76858.0
G2101070,Kentucky,Hopkins,1840,41595.0
G2101110,Kentucky,Jefferson,1840,115175.0
G2101130,Kentucky,Jessamine,1840,61806.0
G2101170,Kentucky,Kenton,1840,53987.0
G2101210,Kentucky,Knox,1840,7873.0
G2101250,Kentucky,Laurel,1840,1084.0
G2101270,Kentucky,Lawrence,1840,5496.0
G2101350,Kentucky,Lewis,1840,18752.0
G2101370,Kentucky,Lincoln,1840,38885.0
G2101390,Kentucky,Livingston,1840,27748.0
G2101410,Kentucky,Logan,1840,40357.0
G2101450,Kentucky,McCracken,1840,13455.0
G2101510,Kentucky,Madison,1840,41502.0
G2101550,Kentucky,Marion,1840,46352.0
G2101610,Kentucky,Mason,1840,220738.0
G2101630,Kentucky,Meade,1840,41597.0
G2101670,Kentucky,Mercer,1840,99305.0
G2101710,Kentucky,Monroe,1840,33676.0
G2101730,Kentucky,Montgomery,1840,48191.0
G2101750,Kentucky,Morgan,1840,6586.0
G2101770,Kentucky,Muhlenberg,1840,34960.0
G2101790,Kentucky,Nelson,1840,121244.0
G2101810,Kentucky,Nicholas,1840,60765.0
G2101830,Kentucky,Ohio,1840,30646.0
G2101850,Kentucky,Oldham,1840,87846.0
G2101870,Kentucky,Owen,1840,61020.0
G2101910,Kentucky,Pendleton,1840,31175.0
G2101930,Kentucky,Perry,1840,2981.0
G2101950,Kentucky,Pike,1840,4966.0
G2101990,Kentucky,Pulaski,1840,43985.0
G2102030,Kentucky,Rockcastle,1840,8472.0
G2102070,Kentucky,Russell,1840,8676.0
G2102090,Kentucky,Scott,1840,105428.0
G2102110,Kentucky,Shelby,1840,177721.0
G2102130,Kentucky,Simpson,1840,45590.0
G2102150,Kentucky,Spencer,1840,70786.0
G2102190,Kentucky,Todd,1840,83717.0
G2102210,Kentucky,Trigg,1840,37172.0
G2102230,Kentucky,Trimble,1840,27571.0
G2102250,Kentucky,Union,1840,33624.0
G2102270,Kentucky,Warren,1840,80180.0
G2102290,Kentucky,Washington,1840,27350.0
G2102310,Kentucky,Wayne,1840,48888.0
G2102350,Kentucky,Whitley,1840,4949.0
G2102390,Kentucky,Woodford,1840,93591.0
G2200050,Louisiana,Ascension,1840,0.0
G2200070,Louisiana,Assumption,1840,0.0
G2200090,Louisiana,Avoyelles,1840,0.0
G2200170,Louisiana,Caddo,1840,0.0
G2200190,Louisiana,Calcasieu,1840,0.0
G2200210,Louisiana,Caldwell,1840,0.0
G2200235,Louisiana,Carroll,1840,0.0
G2200250,Louisiana,Catahoula,1840,0.0
G2200270,Louisiana,Claiborne,1840,0.0
G2200290,Louisiana,Concordia,1840,0.0
G2200330,Louisiana,East Baton Rouge,1840,0.0
G2200370,Louisiana,East Feliciana,1840,0.0
G2200470,Louisiana,Iberville,1840,0.0
G2200510,Louisiana,Jefferson,1840,0.0
G2200550,Louisiana,Lafayette,1840,0.0
G2200570,Louisiana,Lafourche,1840,0.0
G2200630,Louisiana,Livingston,1840,0.0
G2200650,Louisiana,Madison,1840,0.0
G2200690,Louisiana,Natchitoches,1840,0.0
G2200710,Louisiana,Orleans,1840,0.0
G2200730,Louisiana,Ouachita,1840,15.0
G2200750,Louisiana,Plaquemines,1840,0.0
G2200770,Louisiana,Pointe Coupee,1840,0.0
G2200790,Louisiana,Rapides,1840,0.0
G2200870,Louisiana,St Bernard,1840,0.0
G2200890,Louisiana,St Charles,1840,0.0
G2200910,Louisiana,St Helena,1840,0.0
G2200930,Louisiana,St James,1840,0.0
G2200950,Louisiana,St John The Baptist,1840,0.0
G2200970,Louisiana,St Landry,1840,0.0
G2200990,Louisiana,St Martin,1840,0.0
G2201010,Louisiana,St Mary,1840,0.0
G2201030,Louisiana,St Tammany,1840,20.0
G2201090,Louisiana,Terrebonne,1840,0.0
G2201110,Louisiana,Union,1840,0.0
G2201170,Louisiana,Washington,1840,25.0
G2201210,Louisiana,West Baton Rouge,1840,0.0
G2201250,Louisiana,West Feliciana,1840,0.0
G2300030,Maine,Aroostook,1840,41982.0
G2300050,Maine,Cumberland,1840,38921.0
G2300070,Maine,Franklin,1840,99726.0
G2300090,Maine,Hancock,1840,27627.0
G2300110,Maine,Kennebec,1840,86514.0
G2300150,Maine,Lincoln,1840,27813.0
G2300170,Maine,Oxford,1840,66696.0
G2300190,Maine,Penobscot,1840,112041.0
G2300210,Maine,Piscataquis,1840,59298.0
G2300250,Maine,Somerset,1840,132487.0
G2300270,Maine,Waldo,1840,78304.0
G2300290,Maine,Washington,1840,20871.0
G2300310,Maine,York,1840,55886.0
G2400010,Maryland,Allegany,1840,86648.0
G2400030,Maryland,Anne Arundel,1840,206143.0
G2400050,Maryland,Baltimore,1840,153181.0
G2400090,Maryland,Calvert,1840,36982.0
G2400110,Maryland,Caroline,1840,24844.0
G2400130,Maryland,Carroll,1840,180848.0
G2400150,Maryland,Cecil,1840,107238.0
G2400170,Maryland,Charles,1840,91231.0
G2400190,Maryland,Dorchester,1840,87378.0
G2400210,Maryland,Frederick,1840,734767.0
G2400250,Maryland,Harford,1840,149300.0
G2400290,Maryland,Kent,1840,133470.0
G2400310,Maryland,Montgomery,1840,142757.0
G2400330,Maryland,Prince Georges,1840,80147.0
G2400350,Maryland,Queen Anne's,1840,113411.0
G2400370,Maryland,St Mary's,1840,68372.0
G2400390,Maryland,Somerset,1840,36778.0
G2400410,Maryland,Talbot,1840,222822.0
G2400430,Maryland,Washington,1840,668787.0
G2400470,Maryland,Worcester,1840,20679.0
G2500010,Massachusetts,Barnstable,1840,3107.0
G2500030,Massachusetts,Berkshire,1840,30236.0
G2500050,Massachusetts,Bristol,1840,3705.0
G2500070,Massachusetts,Dukes,1840,692.0
G2500090,Massachusetts,Essex,1840,3281.0
G2500110,Massachusetts,Franklin,1840,21489.0
G2500130,Massachusetts,Hampden,1840,9852.0
G2500150,Massachusetts,Hampshire,1840,15974.0
G2500170,Massachusetts,Middlesex,1840,9502.0
G2500190,Massachusetts,Nantucket,1840,91.0
G2500210,Massachusetts,Norfolk,1840,3341.0
G2500230,Massachusetts,Plymouth,1840,10765.0
G2500250,Massachusetts,Suffolk,1840,130.0
G2500270,Massachusetts,Worcester,1840,45759.0
G2600050,Michigan,Allegan,1840,13815.0
G2600150,Michigan,Barry,1840,12884.0
G2600210,Michigan,Berrien,1840,56685.0
G2600230,Michigan,Branch,1840,67317.0
G2600250,Michigan,Calhoun,1840,176630.0
G2600270,Michigan,Cass,1840,95101.0
G2600330,Michigan,Chippewa,1840,0.0
G2600370,Michigan,Clinton,1840,18632.0
G2600450,Michigan,Eaton,1840,15896.0
G2600490,Michigan,Genesee,1840,37397.0
G2600590,Michigan,Hillsdale,1840,80256.0
G2600650,Michigan,Ingham,1840,23127.0
G2600670,Michigan,Ionia,1840,32382.0
G2600750,Michigan,Jackson,1840,180649.0
G2600770,Michigan,Kalamazoo,1840,161168.0
